w,Unit cell x-dimension (# of pixels),Unit cell y-dimension (# of pixels),Geometry encoding (Condensed 15),Geometry encoding (Condensed 25),"Geometry encoding (full, row-major)",Plane Stress/Plane Strain,C11 (sxx-exx),C12  (sxx-eyy),C22 (syy-eyy),C16  (sxx-exy),C26 (syy-exy),C66 (sxy-exy),Constituent Material CM0,CM0: C11,CM0: C12,CM0: C22,CM0: C16,CM0: C26,CM0: C66,Constituent Material CM1,CM1: C11,CM1: C12,CM1: C22,CM1: C16,CM1: C26,CM1: C66
C4v,10,10,000000000000000,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Plane Strain,2963290579,1459531181,2963290579,0,0,751879699,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000001,,1000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001,Plane Strain,2563908499,1191999318,2563908499,0,0,650861882,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000010,,0100000010100000000100000000000000000000000000000000000000000000000000000000000010000000010100000010,Plane Strain,2147369267,962096152,2147369267,0,0,570022574,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000011,,1100000011100000000100000000000000000000000000000000000000000000000000000000000010000000011100000011,Plane Strain,1958361478,842270394,1958361478,0,0,492121793,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000100,,0000000000010000001000000000000000000000000000000000000000000000000000000000000001000000100000000000,Plane Strain,2583122450,1200650660,2583122450,0,0,649192588,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000101,,1000000001010000001000000000000000000000000000000000000000000000000000000000000001000000101000000001,Plane Strain,2118296691,933665682,2118296691,0,0,567758206,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000110,,0100000010110000001100000000000000000000000000000000000000000000000000000000000011000000110100000010,Plane Strain,1774353974,681658805,1774353974,0,0,373345277,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000000111,,1100000011110000001100000000000000000000000000000000000000000000000000000000000011000000111100000011,Plane Strain,1757946175,668809586,1757946175,0,0,372869153,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001000,,0010000100000000000010000000010000000000000000000000000000000000000000100000000100000000000010000100,Plane Strain,2188820448,969563557,2188820448,0,0,576868567,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001001,,1010000101000000000010000000010000000000000000000000000000000000000000100000000100000000001010000101,Plane Strain,2027847623,827744115,2027847623,0,0,395176933,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001010,,0110000110100000000110000000010000000000000000000000000000000000000000100000000110000000010110000110,Plane Strain,1603778306,655129172,1603778306,0,0,422943287,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001011,,1110000111100000000110000000010000000000000000000000000000000000000000100000000110000000011110000111,Plane Strain,1362329456,505595991,1362329456,0,0,311746562,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001100,,0010000100010000001010000000010000000000000000000000000000000000000000100000000101000000100010000100,Plane Strain,1784651367,770393988,1784651367,0,0,499401240,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001101,,1010000101010000001010000000010000000000000000000000000000000000000000100000000101000000101010000101,Plane Strain,1674471976,693754458,1674471976,0,0,368040739,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001110,,0110000110110000001110000000010000000000000000000000000000000000000000100000000111000000110110000110,Plane Strain,1356670223,503431323,1356670223,0,0,298835044,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000001111,,1110000111110000001110000000010000000000000000000000000000000000000000100000000111000000111110000111,Plane Strain,1346372164,493664291,1346372164,0,0,297588863,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000010000,,0000000000001000010001000000100000000000000000000000000000000000000000010000001000100001000000000000,Plane Strain,2204651722,980844247,2204651722,0,0,575527901,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000010001,,1000000001001000010001000000100000000000000000000000000000000000000000010000001000100001001000000001,Plane Strain,1911644561,844338157,1911644561,0,0,524099006,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000000010010,,0100000010101000010101000000100000000000000000000000000000000000000000010000001010100001010100000010,Plane Strain,1570029966,637172543,1570029966,0,0,431397823,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
